dP,dA,fA,nAA,nPP,nAP,nPA,DA,DAP,DP,nAM_AP,nPM_AP,nAA_AP,nAP_AP,nPA_AP,nPP_AP,XAP,XA,XP,y
2.77,2.88,0.8,6.1,9.8,0.5,0.53,0,16,0,7.3136584382647385,11.448173837855576,6.759593405062865,0.5540650332018744,0.5873700032975272,10.86080383455805,0.8221146501856391,0.08889531171606761,0.08899003809829326,0.514589078235146
2.77,2.88,0.8,6.1,9.8,0.5,0.53,0,17,0,7.416088127349335,11.608484292426377,6.854263269216808,0.5618248581325251,0.5955950314604046,11.01288926096597,0.8016585182366309,0.09912484832142021,0.09921663344194906,0.5145885575457654
2.77,2.88,0.8,6.1,9.8,0.5,0.53,0,18,0,7.509148844628579,11.754107690858591,6.940273932156717,0.5688749124718622,0.60306651269652,11.151041178162071,0.7839379458170888,0.1079873148030468,0.10807473937986455,0.5145875892303003
2.77,2.88,0.8,6.1,9.8,0.5,0.53,1,16,0,7.174257268459212,11.592356268178111,6.612325520160113,0.5619317482991001,0.5947675529655758,10.997588715212535,0.8025254340819826,0.09940360637438259,0.09807095954363487,0.5141937514056482
2.77,2.88,0.8,6.1,9.8,0.5,0.53,1,17,0,7.256001935931361,11.774590205969437,6.685254295437702,0.5707476404936597,0.60411740650182,11.170472799467614,0.7804333227450695,0.1104276322936808,0.10913904496124963,0.5142015315263222
2.77,2.88,0.8,6.1,9.8,0.5,0.53,1,18,0,7.330180015845389,11.940300248075113,6.751432514615317,0.5787475012300719,0.6126194706176004,11.327680777457513,0.7613938036752101,0.11991571898296545,0.11869047734182427,0.514215590237069
2.77,2.88,0.8,6.2,9.8,0.5,0.53,0,16,0,7.379348171309782,11.378522130537412,6.828650546585171,0.5506976247246106,0.5837963919830427,10.79472573855437,0.8313257676243473,0.08429248358183575,0.08438174879381702,0.5145874578318562
2.77,2.88,0.8,6.2,9.8,0.5,0.53,0,17,0,7.482694775435551,11.537862287785243,6.924284717567226,0.5584100578683246,0.5919716372242187,10.945890650561024,0.8105384700113953,0.09468719787573779,0.09477433211286669,0.5145871494213904
2.77,2.88,0.8,6.2,9.8,0.5,0.53,0,18,0,7.576588700073908,11.682604023036456,7.011171632904212,0.5654170671696944,0.5993978830793149,11.08320613995714,0.7925352459620298,0.10369066283889697,0.10377409119907342,0.5145863580744546
2.77,2.88,0.8,6.2,9.8,0.5,0.53,1,16,0,7.249618083485605,11.512796804943513,6.691595107089471,0.5580229763961356,0.5906856056747398,10.922111199268777,0.8126466704087347,0.09430435715104872,0.09304897244021665,0.5142171085810644
2.77,2.88,0.8,6.2,9.8,0.5,0.53,1,17,0,7.332581135108701,11.693715996539595,6.765799780248105,0.5667813548605958,0.5999680036946743,11.093747992844921,0.7901529177290517,0.10553496478599766,0.10431211748495077,0.5142218414738072
2.77,2.88,0.8,6.2,9.8,0.5,0.53,1,18,0,7.407863035755103,11.85823349922638,6.8331341986781995,0.5747288370769027,0.6084088823417213,11.249824616884654,0.7707729307673317,0.11519792953319778,0.11402913969947032,0.514233357922765
2.77,2.88,0.8,6.3,9.8,0.5,0.53,0,16,0,7.44424424551881,11.309712840534383,6.896873345113016,0.5473709004057951,0.5802660024669142,10.729446838067469,0.8406304858806574,0.07964284604945526,0.07972666806988739,0.5145858573700972
2.77,2.88,0.8,6.3,9.8,0.5,0.53,0,17,0,7.548496633891278,11.46809437322575,6.993460116693388,0.5550365171978882,0.5883920636795401,10.879702309546207,0.8195063897072891,0.09020555502180891,0.09028805527090193,0.5145857585858385
2.77,2.88,0.8,6.3,9.8,0.5,0.53,0,18,0,7.64321365386299,11.611965055273851,7.0812126499024775,0.5620010039605141,0.5957736185184068,11.016191436755443,0.8012158129880289,0.09935236958859456,0.0994318174233767,0.5145851420052643
2.77,2.88,0.8,6.3,9.8,0.5,0.53,1,16,0,7.323937823405333,11.434321776471533,6.769769606206062,0.5541682171992712,0.586659297340747,10.847662479130786,0.8228822020345955,0.08914812369844896,0.0879696742669555,0.5142401369739827
2.77,2.88,0.8,6.3,9.8,0.5,0.53,1,17,0,7.408103412064437,11.613945052548702,6.845233590049618,0.562869822014818,0.595875205987494,11.01806984656121,0.7999792098104007,0.10058910107266947,0.09943168911692987,0.5142418664913615
2.77,2.88,0.8,6.3,9.8,0.5,0.53,1,18,0,7.484474732471131,11.777287052193294,6.913709129531973,0.5707656029391595,0.6042557732490268,11.173031278944267,0.7802524725576225,0.11043007333062041,0.10931745411175715,0.5142508770429822
